uid;error_id;start_vid;end_vid;error_val;type;level;geom
1846818-1852593;923;1846818;1852593;100;Error;5;0104000020E6100000020000000101000000B73533449FA26240BBFE13121F0140C00101000000636424D6FDA26240A51DED6E540140C0
1876040-1116959;;1876040;1116959;0;No error;5;0104000020E6100000020000000101000000EFBB3324F8076340F83768AF3E303DC001010000008069AC58170C63403ED3A645D8733DC0
1905481-1836856;918;1905481;1836856;100;Error;5;0104000020E6100000020000000101000000C1E7E2CAF4986240389C9E1CAA6F40C00101000000E4DBBB06BD986240448BC7A06E6F40C0
1963395-1976238;;1963395;1976238;0;No error;5;0104000020E6100000020000000101000000BE2D58AA8BB06240288C1CD8E0C441C00101000000CDB458E5DDB0624027440AAF6EC541C0
1980047-1969611;526;1980047;1969611;100;Error;5;0104000020E61000000200000001010000000B462575024762402BB8C4364EC041C00101000000A3E47A80D3466240B9E00CFE7EBF41C0
1986552-1976059;;1986552;1976059;0;No error;5;0104000020E6100000020000000101000000937CDB0238E562402A42A0E9DB8E3FC001010000006F545D767EE4624092544BDF10993FC0
2003833-1989499;;2003833;1989499;0;No error;5;0104000020E6100000020000000101000000E4E3C924196C6240AF456689296A41C00101000000436271EE256C6240F308C95DDF6941C0
2003862-2015994;958;2003862;2015994;70;Near error;5;0104000020E6100000020000000101000000AD3594DA4BB562402DDED9684AA242C00101000000C0E556ADF1B56240EFDCC545FFA442C0
2004349-1958967;945;2004349;1958967;100;Error;5;0104000020E6100000020000000101000000F10170A2CC3C6240171D7F58256541C00101000000B0E76B960B3D6240F8C1F9D4B16641C0
2019272-1252885;;2019272;1252885;0;No error;5;0104000020E61000000200000001010000000FB33CB4B4E462403DAC81F79FBA40C00101000000DEEA94A2F0E46240CAC342AD69BA40C0
2019479-1555323;849;2019479;1555323;100;Error;5;0104000020E6100000020000000101000000B108B42AF8036340C2340C1F11673FC001010000000D31033AF803634001B38C1E09673FC0
2027246-211099;;2027246;211099;0;No error;5;0104000020E6100000020000000101000000C2FC153297DB62405BBEE43565E840C00101000000F1DEAC1CB5DB6240A032A3C453E840C0
2027283-1699828;960;2027283;1699828;100;Error;5;0104000020E610000002000000010100000085D217420E8762407D7FDEAF5DDD41C00101000000CD316A0898866240720A3C41ACDB41C0
